timestamp,steering,speed,throttle
1745557758.0883095,-0.25,9.15,0.09
1745557759.415404,-0.25,9.15,0.09
1745557760.6218853,-0.25,9.15,0.09
1745557762.0318017,-0.25,9.15,0.09
1745557762.9379573,-0.25,9.15,0.09
1745557763.802571,-0.25,9.15,0.09
1745557764.5263984,-0.25,9.15,0.09
1745557765.2504628,-0.25,9.15,0.09
1745557766.123378,-0.25,9.15,0.09
1745557767.1084957,-0.25,9.15,0.09
1745557768.1620576,-0.25,9.15,0.09
1745557768.8958678,-0.25,9.15,0.09
1745557769.6405978,-0.25,9.15,0.09
1745557770.451979,-0.25,9.15,0.09
1745557771.168625,-0.25,9.15,0.09
1745557771.8882368,-0.25,9.15,0.09
1745557772.6089997,-0.25,9.15,0.09
1745557773.346723,-0.25,9.15,0.09
1745557774.0704758,-0.25,9.15,0.09
1745557774.792767,-0.25,9.15,0.09
1745557775.5372946,-0.25,9.15,0.09
1745557776.2932117,-0.25,9.15,0.09
1745557777.0065503,-0.25,9.15,0.09
1745557777.716861,-0.25,9.15,0.09
1745557778.4561546,-0.25,9.15,0.09
1745557779.171451,-0.25,9.15,0.09
1745557779.9545193,-0.25,9.15,0.09
1745557780.8692894,-0.25,9.15,0.09
1745557781.822347,-0.25,9.15,0.09
1745557782.823501,-0.25,9.15,0.09
1745557783.5613708,-0.25,9.15,0.09
1745557784.3779898,-0.25,9.15,0.09
1745557785.2075093,-0.25,9.15,0.09
1745557785.9086878,-0.25,9.15,0.09
1745557786.6275532,-0.25,9.15,0.09
1745557787.368329,-0.25,9.15,0.09
1745557788.1121273,-0.25,9.15,0.09
1745557788.8410919,-0.25,9.15,0.09
1745557789.5661044,-0.25,9.15,0.09
1745557790.2830284,-0.25,9.15,0.09
1745557790.9884486,-0.25,9.15,0.09
1745557791.7072005,-0.25,9.15,0.09
1745557792.4291325,-0.25,9.15,0.09
1745557793.155782,-0.25,9.15,0.09
1745557793.8952734,-0.25,9.15,0.09
1745557794.5915208,-0.25,9.15,0.09
1745557795.3716617,-0.25,9.15,0.09
1745557796.0915623,-0.25,9.15,0.09
1745557796.8162777,-0.25,9.15,0.09
1745557797.5351405,-0.25,9.15,0.09
1745557798.2367914,-0.25,9.15,0.09
1745557798.948569,-0.25,9.15,0.09
1745557799.664204,-0.25,9.15,0.09
1745557800.4170651,-0.25,9.15,0.09
1745557801.1348963,-0.25,9.15,0.09
1745557801.8735237,-0.25,9.15,0.09
1745557802.6251507,-0.25,9.15,0.09
1745557803.3246758,-0.25,9.15,0.09
1745557804.0401726,-0.25,9.15,0.09
1745557804.7437341,-0.25,9.15,0.09
1745557805.466196,-0.25,9.15,0.09
1745557806.1984146,-0.25,9.15,0.09
1745557806.913839,-0.25,9.15,0.09
1745557807.6716316,-0.25,9.15,0.09
1745557808.389779,-0.25,9.15,0.09
1745557809.112511,-0.25,9.15,0.09
1745557809.8441567,-0.25,9.15,0.09
1745557810.5889757,-0.25,9.15,0.09
1745557811.3180544,-0.25,9.15,0.09
1745557812.0462422,-0.25,9.15,0.09
1745557812.750334,-0.25,9.15,0.09
1745557813.4929383,-0.25,9.15,0.09
1745557814.2790942,-0.25,9.15,0.09
1745557815.008062,-0.25,9.15,0.09
1745557815.7366557,-0.25,9.15,0.09
1745557816.449347,-0.25,9.15,0.09
1745557817.1641777,-0.25,9.15,0.09
1745557817.9127085,-0.25,9.15,0.09
1745557818.6272078,-0.25,9.15,0.09
1745557819.3633983,-0.25,9.15,0.09
1745557820.102233,-0.25,9.15,0.09
1745557820.824565,-0.25,9.15,0.09
1745557821.5589554,-0.25,9.15,0.09
1745557822.2887945,-0.25,9.15,0.09
1745557823.035063,-0.25,9.15,0.09
1745557823.7439196,-0.25,9.15,0.09
1745557824.4738078,-0.25,9.15,0.09
1745557825.2019544,-0.25,9.15,0.09
1745557825.9338868,-0.25,9.15,0.09
1745557826.6360617,-0.25,9.15,0.09
1745557827.3603928,-0.25,9.15,0.09
1745557828.0865204,-0.25,9.15,0.09
1745557828.8061507,-0.25,9.15,0.09
1745557829.5316653,-0.25,9.15,0.09
1745557830.2795618,-0.25,9.15,0.09
1745557830.9840772,-0.25,9.15,0.09
1745557831.6857383,-0.25,9.15,0.09
1745557832.401806,-0.25,9.15,0.09
1745557833.115213,-0.25,9.15,0.09
1745557833.8290932,-0.25,9.15,0.09
1745557834.5457006,-0.25,9.15,0.09
