timestamp,gradcam_latency
1754587361.1566963,0.017966
1754587361.198669,0.013156
1754587361.2323754,0.011662
1754587361.2688816,0.012520
1754587361.312481,0.013589
1754587361.346619,0.008526
1754587361.3907368,0.011888
1754587361.4406538,0.012804
1754587361.486695,0.018346
1754587361.525203,0.011923
1754587361.5647633,0.013045
1754587361.6075292,0.017938
1754587361.6495228,0.011407
1754587361.6887918,0.012519
1754587361.727308,0.014278
1754587361.7715702,0.011541
1754587361.8134532,0.013099
1754587361.8605778,0.015576
1754587361.8992343,0.011704
1754587361.9388175,0.011147
1754587361.9790804,0.016415
1754587362.0249317,0.010704
1754587362.0596046,0.011526
1754587362.0984163,0.010066
1754587362.1403868,0.011230
1754587362.1787777,0.010191
1754587362.228338,0.015612
1754587362.2781808,0.013499
1754587362.3285935,0.016029
1754587362.3633833,0.011896
1754587362.405589,0.013071
1754587362.5564177,0.094682
1754587362.7675478,0.141515
1754587362.905686,0.032296
1754587362.9827683,0.014935
1754587363.0248892,0.014195
1754587363.0652027,0.015522
1754587363.1050858,0.015037
1754587363.1493425,0.017732
1754587363.1904988,0.013535
1754587363.2312543,0.017420
1754587363.288505,0.019334
1754587363.3507552,0.017270
1754587363.4021366,0.021637
1754587363.4515946,0.013062
1754587363.4978898,0.011158
1754587363.5458298,0.014477
1754587363.5930276,0.017608
1754587363.63549,0.010924
1754587363.678006,0.014550
1754587363.7087436,0.009202
1754587363.7493207,0.016651
1754587363.7892694,0.014805
1754587363.830792,0.013559
1754587363.872315,0.013594
1754587363.9118454,0.012400
1754587363.9488492,0.008013
1754587363.9845219,0.008116
1754587364.0220315,0.010205
1754587364.068448,0.014617
1754587364.1003294,0.009514
1754587364.1427908,0.015598
1754587364.176718,0.014346
1754587364.2268264,0.019623
1754587364.2853878,0.018968
1754587364.3283834,0.021249
1754587364.3816347,0.017104
1754587364.4259121,0.013524
1754587364.6268077,0.055297
1754587364.858239,0.096415
1754587364.9424036,0.025753
1754587364.9907155,0.011559
1754587365.0225656,0.009613
1754587365.0535207,0.009984
1754587365.088634,0.011069
1754587365.1288273,0.013099
1754587365.1594713,0.009049
1754587365.193752,0.010517
1754587365.2346237,0.013535
1754587365.2743058,0.013632
1754587365.317564,0.014910
1754587365.362802,0.010270
1754587365.410351,0.016616
1754587365.4517043,0.011803
1754587365.4904356,0.011817
1754587365.5254788,0.011929
1754587365.5724714,0.016804
1754587365.6020377,0.009524
1754587365.643321,0.012539
1754587365.6779084,0.015371
1754587365.715772,0.010020
1754587365.7518988,0.011000
1754587365.7877796,0.011124
1754587365.8318684,0.016354
1754587365.870439,0.016871
1754587365.9128277,0.011326
1754587365.9597244,0.018329
1754587365.9945633,0.010027
1754587366.0286043,0.010536
1754587366.0668569,0.010162
1754587366.1024961,0.010509
1754587366.143862,0.010082
1754587366.1821005,0.018758
1754587366.223437,0.011115
1754587366.2739387,0.011956
1754587366.3105223,0.011089
1754587366.348974,0.012663
1754587366.3981397,0.013987
1754587366.4545527,0.017769
1754587366.5290945,0.022892
1754587366.712813,0.042640
1754587366.9354508,0.032641
1754587367.008165,0.021049
1754587367.0505776,0.016588
1754587367.0990226,0.013176
1754587367.1392252,0.013615
1754587367.1740532,0.014695
1754587367.2063787,0.011582
1754587367.2376518,0.010518
1754587367.2868068,0.016227
1754587367.3289914,0.011827
1754587367.37152,0.014860
1754587367.4090521,0.012093
1754587367.4495428,0.012530
1754587367.494811,0.012608
1754587367.5267625,0.013138
1754587367.5677688,0.014340
1754587367.5994163,0.012086
1754587367.6354134,0.011562
1754587367.666677,0.009521
1754587367.705788,0.013189
1754587367.7416165,0.014868
1754587367.7770767,0.012403
1754587367.8146617,0.009619
1754587367.8507872,0.009056
1754587367.8928943,0.016436
1754587367.9239023,0.011951
1754587367.9726899,0.012228
1754587368.0287864,0.013304
1754587368.0662153,0.013701
1754587368.1057487,0.012031
1754587368.1430047,0.010518
1754587368.1966503,0.019450
1754587368.269003,0.026823
1754587368.3151443,0.011757
1754587368.358102,0.013728
1754587368.4167876,0.029959
1754587368.4763892,0.025458
1754587368.7219796,0.170960
1754587368.9285808,0.141802
1754587369.0362804,0.034579
1754587369.3129053,0.233442
1754587369.353764,0.011363
1754587369.3893647,0.012790
1754587369.4247627,0.015731
1754587369.4623916,0.013149
1754587369.5045352,0.016738
1754587369.5461605,0.014683
1754587369.5890224,0.015629
1754587369.6297777,0.009963
1754587369.6792233,0.014841
1754587369.7253873,0.017576
1754587369.765883,0.012126
1754587369.8304982,0.023393
1754587369.8733,0.009528
1754587369.9073846,0.010037
1754587369.944111,0.012589
1754587369.9807022,0.014348
1754587370.0164485,0.011530
1754587370.0546746,0.017563
1754587370.0946386,0.011138
1754587370.1392305,0.014454
1754587370.1793768,0.018637
1754587370.2160957,0.010388
